Zone,StartCrime,EndCrime,path
M,"(:Crime {date: 2010-11-11,month: 11,year: 2010,crime: AUTO THEFT,crime_id: 103151058.0})","(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AGG ASSAULT,crime_id: 103162141.0})","(:Crime {date: 2010-11-11,month: 11,year: 2010,crime: AUTO THEFT,crime_id: 103151058.0})-[:ON_BEAT]->(:Beat {npu: M,beat: 603})<-[:ON_BEAT]-(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AGG ASSAULT,crime_id: 103162141.0})"
M,"(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110040192.0})","(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110052161.0})","(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110040192.0})-[:ON_BEAT]->(:Beat {npu: M,beat: 512})<-[:ON_BEAT]-(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110052161.0})"
N,"(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103080523.0})","(:Crime {date: 2010-05-01,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 100051625.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103080523.0})-[:ON_BEAT]->(:Beat {npu: N,beat: 602})<-[:ON_BEAT]-(:Crime {date: 2010-05-01,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 100051625.0})"
O,"(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161848.0})","(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110010466.0})","(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161848.0})-[:ON_BEAT]->(:Beat {npu: O,beat: 610})<-[:ON_BEAT]-(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110010466.0})"
R,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080336.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080336.0})"
R,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103082264.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103082264.0})"
R,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103082431.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040205.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103082431.0})"
R,"(:Crime {date: 2010-11-11,month: 11,year: 2010,crime: AUTO THEFT,crime_id: 103151207.0})","(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AGG ASSAULT,crime_id: 103160762.0})","(:Crime {date: 2010-11-11,month: 11,year: 2010,crime: AUTO THEFT,crime_id: 103151207.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 408})<-[:ON_BEAT]-(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AGG ASSAULT,crime_id: 103160762.0})"
R,"(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161666.0})","(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110011046.0})","(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161666.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110011046.0})"
R,"(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041172.0})","(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110051734.0})","(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041172.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110051734.0})"
R,"(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041172.0})","(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110052113.0})","(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041172.0})-[:ON_BEAT]->(:Beat {npu: R,beat: 410})<-[:ON_BEAT]-(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110052113.0})"
T,"(:Crime {date: 2010-02-11,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 103062069.0})","(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103070211.0})","(:Crime {date: 2010-02-11,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 103062069.0})-[:ON_BEAT]->(:Beat {npu: T,beat: 402})<-[:ON_BEAT]-(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103070211.0})"
T,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040861.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080738.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040861.0})-[:ON_BEAT]->(:Beat {npu: T,beat: 402})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080738.0})"
T,"(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161070.0})","(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110011620.0})","(:Crime {date: 2010-12-11,month: 12,year: 2010,crime: AUTO THEFT,crime_id: 103161070.0})-[:ON_BEAT]->(:Beat {npu: T,beat: 402})<-[:ON_BEAT]-(:Crime {date: 2011-01-01,month: 1,year: 2011,crime: AGG ASSAULT,crime_id: 110011620.0})"
V,"(:Crime {date: 2010-02-01,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 100020365.0})","(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 100030251.0})","(:Crime {date: 2010-02-01,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 100020365.0})-[:ON_BEAT]->(:Beat {npu: V,beat: 301})<-[:ON_BEAT]-(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 100030251.0})"
V,"(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103082297.0})","(:Crime {date: 2010-05-11,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 103090710.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103082297.0})-[:ON_BEAT]->(:Beat {npu: V,beat: 304})<-[:ON_BEAT]-(:Crime {date: 2010-05-11,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 103090710.0})"
V,"(:Crime {date: 2011-06-01,month: 6,year: 2011,crime: AUTO THEFT,crime_id: 110062315.0})","(:Crime {date: 2011-07-01,month: 7,year: 2011,crime: AGG ASSAULT,crime_id: 110072465.0})","(:Crime {date: 2011-06-01,month: 6,year: 2011,crime: AUTO THEFT,crime_id: 110062315.0})-[:ON_BEAT]->(:Beat {npu: V,beat: 302})<-[:ON_BEAT]-(:Crime {date: 2011-07-01,month: 7,year: 2011,crime: AGG ASSAULT,crime_id: 110072465.0})"
Y,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100041539.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103081839.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100041539.0})-[:ON_BEAT]->(:Beat {npu: Y,beat: 307})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103081839.0})"
